Cytokine,CytokineLabel,Beta_log2_per_10fold_MDV,SE,Beta_95CI_low,Beta_95CI_high,Fold_change_per_10fold_MDV,Fold_change_95CI_low,Fold_change_95CI_high,LRT_chi_square,LRT_p_value,Spleen_vs_liver_beta_log2,Spleen_vs_liver_fold_change,Spleen_effect_95CI_low,Spleen_effect_95CI_high,Random_intercept_variance,Residual_variance,ICC,AIC,BIC,Singular,Interaction_beta_log2,Interaction_LRT_chi_square,Interaction_p_value,BH_q_value,Interaction_BH_q_value,Direction
IFNG,IFN-Î,-0.291547519,0.072305512,-0.433266323,-0.149828715,0.8170251994775624,0.7405831741732847,0.901357471,10.419418112009737,0.001246972,0.3367580027531532,1.2629154030150846,1.0967635696482283,1.4542380503067889,0.043554532176374276,0.091078677,0.3235051185613393,37.986490094159016,45.90408478643957,FALSE,-0.185238817,1.989824273494257,0.15835925431604245,0.001834711,0.19003110517925093,Lower expression
IL2,IL-2,-0.256339158,0.055299995,-0.364727148,-0.147951168,0.8372096477143195,0.7766157398984056,0.9025312753996295,15.953563686937784,6.491545257290129e-5,0.3547827219830187,1.278792973333469,1.139892665600682,1.4346188180667911,0.016888150129969064,0.060989803743099404,0.21685405548140982,19.40251718650669,27.320111878787237,FALSE,0.059558520220234015,0.3243053075235949,0.5690317280096859,3.8949271543740774e-4,0.5690317280096859,Lower expression
IL4,IL-4,0.45640029740110133,0.12617679136917584,0.20909378631751668,0.703706808,1.3721139493956216,1.1559618505584193,1.6286841033867703,10.289623696265565,0.001337804,0.30041049760827093,1.2314947671820644,0.9865620740565587,1.5372366336371686,0.2275360487157895,0.22168631142104372,0.50651096,78.01878339334458,85.93637808562512,FALSE,-0.384702817,3.4874355049843047,0.061836307297053354,0.001834711,0.17347760961712197,Higher expression
IL6,IL-6,0.3190326087332739,0.09241677,0.13789574036686808,0.5001694770996796,1.2474937682623188,1.1002990908805714,1.4143797034385057,10.043425975983737,0.001528926,-0.003469572,0.9975979655555365,0.8646306654228315,1.1510136532040076,0.2548625694337761,0.09006601,0.7388850470061497,59.632622682780806,67.55021737506135,FALSE,0.19518248016645628,2.1445506010791533,0.14307692727023769,0.001834711,0.19003110517925093,Higher expression
IL10,IL-10,0.6107065578681319,0.15630541753910526,0.3043479394914856,0.9170651762447781,1.5270068753318624,1.234860386310533,1.8882701422445725,12.54126569536598,3.9806257961509786e-4,0.5316753660820429,1.4456069687875597,1.0941452704340202,1.9099653077860428,0.3257170450436604,0.35057229617774616,0.4816238038816373,93.33226325879335,101.24985795107389,FALSE,-0.487535694,3.7874618756417817,0.051637895,0.001194188,0.17347760961712197,Higher expression
IL17,IL-17,0.3999792395806783,0.14800369717610454,0.10989199311551345,0.6900664860458432,1.319488923156209,1.0791474434656945,1.6133578677076108,6.267587945407982,0.012296642688008596,0.065433537,1.0463993405286398,0.7877375367757788,1.3899954346982433,0.20020283857593646,0.3682283927631153,0.35220239061164743,89.44411523329444,97.36170992557498,FALSE,-0.495156173,2.9338799568152183,0.086738805,0.012296642688008596,0.17347760961712197,Higher expression
